patch_mask8\origin\hist01\image1.mha patch_mask8\label01\image1.mha
patch_mask8\origin\hist01\image39.mha patch_mask8\label01\image39.mha
patch_mask8\origin\hist01\image40.mha patch_mask8\label01\image40.mha
patch_mask8\origin\hist01\image41.mha patch_mask8\label01\image41.mha
patch_mask8\origin\hist01\image42.mha patch_mask8\label01\image42.mha
patch_mask8\origin\hist01\image43.mha patch_mask8\label01\image43.mha
patch_mask8\origin\hist01\image44.mha patch_mask8\label01\image44.mha
patch_mask8\origin\hist01\image45.mha patch_mask8\label01\image45.mha
patch_mask8\origin\hist01\image46.mha patch_mask8\label01\image46.mha
patch_mask8\origin\hist01\image47.mha patch_mask8\label01\image47.mha
patch_mask8\origin\hist01\image48.mha patch_mask8\label01\image48.mha
patch_mask8\origin\hist01\image49.mha patch_mask8\label01\image49.mha
patch_mask8\origin\hist01\image50.mha patch_mask8\label01\image50.mha
patch_mask8\origin\hist01\image51.mha patch_mask8\label01\image51.mha
patch_mask8\origin\hist01\image52.mha patch_mask8\label01\image52.mha
patch_mask8\origin\hist01\image53.mha patch_mask8\label01\image53.mha
patch_mask8\origin\hist01\image54.mha patch_mask8\label01\image54.mha
patch_mask8\origin\hist01\image55.mha patch_mask8\label01\image55.mha
patch_mask8\origin\hist01\image56.mha patch_mask8\label01\image56.mha
patch_mask8\origin\hist01\image57.mha patch_mask8\label01\image57.mha
patch_mask8\origin\hist01\image58.mha patch_mask8\label01\image58.mha
patch_mask8\origin\hist01\image59.mha patch_mask8\label01\image59.mha
patch_mask8\origin\hist01\image60.mha patch_mask8\label01\image60.mha
patch_mask8\origin\hist01\image61.mha patch_mask8\label01\image61.mha
patch_mask8\origin\hist01\image62.mha patch_mask8\label01\image62.mha
patch_mask8\origin\hist01\image63.mha patch_mask8\label01\image63.mha
patch_mask8\origin\hist01\image64.mha patch_mask8\label01\image64.mha
patch_mask8\origin\hist01\image65.mha patch_mask8\label01\image65.mha
patch_mask8\origin\hist01\image66.mha patch_mask8\label01\image66.mha
patch_mask8\origin\hist01\image67.mha patch_mask8\label01\image67.mha
patch_mask8\origin\hist01\image68.mha patch_mask8\label01\image68.mha
patch_mask8\origin\hist01\image69.mha patch_mask8\label01\image69.mha
patch_mask8\origin\hist01\image70.mha patch_mask8\label01\image70.mha
patch_mask8\origin\hist01\image71.mha patch_mask8\label01\image71.mha
patch_mask8\origin\hist01\image72.mha patch_mask8\label01\image72.mha
patch_mask8\origin\hist01\image73.mha patch_mask8\label01\image73.mha
patch_mask8\origin\hist01\image74.mha patch_mask8\label01\image74.mha
patch_mask8\origin\hist01\image75.mha patch_mask8\label01\image75.mha
patch_mask8\origin\hist01\image76.mha patch_mask8\label01\image76.mha
patch_mask8\origin\hist01\image77.mha patch_mask8\label01\image77.mha
patch_mask8\origin\hist01\image78.mha patch_mask8\label01\image78.mha
patch_mask8\origin\hist01\image79.mha patch_mask8\label01\image79.mha
patch_mask8\origin\hist01\image80.mha patch_mask8\label01\image80.mha
patch_mask8\origin\hist01\image81.mha patch_mask8\label01\image81.mha
patch_mask8\origin\hist01\image82.mha patch_mask8\label01\image82.mha
patch_mask8\origin\hist01\image83.mha patch_mask8\label01\image83.mha
patch_mask8\origin\hist01\image84.mha patch_mask8\label01\image84.mha
patch_mask8\origin\hist01\image85.mha patch_mask8\label01\image85.mha
patch_mask8\origin\hist01\image86.mha patch_mask8\label01\image86.mha
patch_mask8\origin\hist01\image87.mha patch_mask8\label01\image87.mha
patch_mask8\origin\hist01\image88.mha patch_mask8\label01\image88.mha
patch_mask8\origin\hist01\image89.mha patch_mask8\label01\image89.mha
patch_mask8\origin\hist01\image90.mha patch_mask8\label01\image90.mha
patch_mask8\origin\hist01\image91.mha patch_mask8\label01\image91.mha
patch_mask8\origin\hist01\image92.mha patch_mask8\label01\image92.mha
patch_mask8\origin\hist01\image93.mha patch_mask8\label01\image93.mha
patch_mask8\origin\hist01\image94.mha patch_mask8\label01\image94.mha
patch_mask8\origin\hist01\image95.mha patch_mask8\label01\image95.mha
patch_mask8\origin\hist01\image96.mha patch_mask8\label01\image96.mha
patch_mask8\origin\hist01\image97.mha patch_mask8\label01\image97.mha
patch_mask8\origin\hist01\image98.mha patch_mask8\label01\image98.mha
patch_mask8\origin\hist01\image99.mha patch_mask8\label01\image99.mha
patch_mask8\origin\hist01\image100.mha patch_mask8\label01\image100.mha
patch_mask8\origin\hist01\image101.mha patch_mask8\label01\image101.mha
patch_mask8\origin\hist01\image102.mha patch_mask8\label01\image102.mha
patch_mask8\origin\hist01\image103.mha patch_mask8\label01\image103.mha
patch_mask8\origin\hist01\image104.mha patch_mask8\label01\image104.mha
patch_mask8\origin\hist01\image105.mha patch_mask8\label01\image105.mha
patch_mask8\origin\hist01\image106.mha patch_mask8\label01\image106.mha
patch_mask8\origin\hist01\image107.mha patch_mask8\label01\image107.mha
patch_mask8\origin\hist01\image108.mha patch_mask8\label01\image108.mha
patch_mask8\origin\hist01\image109.mha patch_mask8\label01\image109.mha
patch_mask8\origin\hist01\image110.mha patch_mask8\label01\image110.mha
patch_mask8\origin\hist01\image111.mha patch_mask8\label01\image111.mha
patch_mask8\origin\hist01\image112.mha patch_mask8\label01\image112.mha
patch_mask8\origin\hist01\image113.mha patch_mask8\label01\image113.mha
patch_mask8\origin\hist01\image114.mha patch_mask8\label01\image114.mha
patch_mask8\origin\hist01\image115.mha patch_mask8\label01\image115.mha
patch_mask8\origin\hist01\image116.mha patch_mask8\label01\image116.mha
patch_mask8\origin\hist01\image117.mha patch_mask8\label01\image117.mha
patch_mask8\origin\hist01\image118.mha patch_mask8\label01\image118.mha
patch_mask8\origin\hist01\image119.mha patch_mask8\label01\image119.mha
patch_mask8\origin\hist01\image120.mha patch_mask8\label01\image120.mha
patch_mask8\origin\hist01\image121.mha patch_mask8\label01\image121.mha
patch_mask8\origin\hist01\image122.mha patch_mask8\label01\image122.mha
patch_mask8\origin\hist01\image123.mha patch_mask8\label01\image123.mha
patch_mask8\origin\hist01\image124.mha patch_mask8\label01\image124.mha
patch_mask8\origin\hist01\image125.mha patch_mask8\label01\image125.mha
patch_mask8\origin\hist01\image126.mha patch_mask8\label01\image126.mha
patch_mask8\origin\hist01\image127.mha patch_mask8\label01\image127.mha
patch_mask8\origin\hist01\image128.mha patch_mask8\label01\image128.mha
patch_mask8\origin\hist01\image129.mha patch_mask8\label01\image129.mha
patch_mask8\origin\hist01\image130.mha patch_mask8\label01\image130.mha
patch_mask8\origin\hist01\image131.mha patch_mask8\label01\image131.mha
patch_mask8\origin\hist01\image132.mha patch_mask8\label01\image132.mha
patch_mask8\origin\hist01\image133.mha patch_mask8\label01\image133.mha
patch_mask8\origin\hist01\image134.mha patch_mask8\label01\image134.mha
patch_mask8\origin\hist01\image135.mha patch_mask8\label01\image135.mha
patch_mask8\origin\hist01\image136.mha patch_mask8\label01\image136.mha
patch_mask8\origin\hist01\image137.mha patch_mask8\label01\image137.mha
patch_mask8\origin\hist02\image1.mha patch_mask8\label02\image1.mha
patch_mask8\origin\hist02\image2.mha patch_mask8\label02\image2.mha
patch_mask8\origin\hist02\image3.mha patch_mask8\label02\image3.mha
patch_mask8\origin\hist02\image4.mha patch_mask8\label02\image4.mha
patch_mask8\origin\hist02\image5.mha patch_mask8\label02\image5.mha
patch_mask8\origin\hist02\image6.mha patch_mask8\label02\image6.mha
patch_mask8\origin\hist02\image7.mha patch_mask8\label02\image7.mha
patch_mask8\origin\hist02\image8.mha patch_mask8\label02\image8.mha
patch_mask8\origin\hist02\image9.mha patch_mask8\label02\image9.mha
patch_mask8\origin\hist02\image10.mha patch_mask8\label02\image10.mha
patch_mask8\origin\hist02\image11.mha patch_mask8\label02\image11.mha
patch_mask8\origin\hist02\image12.mha patch_mask8\label02\image12.mha
patch_mask8\origin\hist02\image13.mha patch_mask8\label02\image13.mha
patch_mask8\origin\hist02\image14.mha patch_mask8\label02\image14.mha
patch_mask8\origin\hist02\image15.mha patch_mask8\label02\image15.mha
patch_mask8\origin\hist02\image16.mha patch_mask8\label02\image16.mha
patch_mask8\origin\hist02\image17.mha patch_mask8\label02\image17.mha
patch_mask8\origin\hist02\image18.mha patch_mask8\label02\image18.mha
patch_mask8\origin\hist02\image19.mha patch_mask8\label02\image19.mha
patch_mask8\origin\hist02\image20.mha patch_mask8\label02\image20.mha
patch_mask8\origin\hist02\image21.mha patch_mask8\label02\image21.mha
patch_mask8\origin\hist02\image22.mha patch_mask8\label02\image22.mha
patch_mask8\origin\hist02\image23.mha patch_mask8\label02\image23.mha
patch_mask8\origin\hist02\image24.mha patch_mask8\label02\image24.mha
patch_mask8\origin\hist02\image25.mha patch_mask8\label02\image25.mha
patch_mask8\origin\hist02\image26.mha patch_mask8\label02\image26.mha
patch_mask8\origin\hist02\image27.mha patch_mask8\label02\image27.mha
patch_mask8\origin\hist02\image28.mha patch_mask8\label02\image28.mha
patch_mask8\origin\hist02\image29.mha patch_mask8\label02\image29.mha
patch_mask8\origin\hist02\image30.mha patch_mask8\label02\image30.mha
patch_mask8\origin\hist02\image31.mha patch_mask8\label02\image31.mha
patch_mask8\origin\hist02\image32.mha patch_mask8\label02\image32.mha
patch_mask8\origin\hist02\image33.mha patch_mask8\label02\image33.mha
patch_mask8\origin\hist02\image34.mha patch_mask8\label02\image34.mha
patch_mask8\origin\hist02\image35.mha patch_mask8\label02\image35.mha
patch_mask8\origin\hist02\image36.mha patch_mask8\label02\image36.mha
patch_mask8\origin\hist02\image37.mha patch_mask8\label02\image37.mha
patch_mask8\origin\hist02\image38.mha patch_mask8\label02\image38.mha
patch_mask8\origin\hist02\image39.mha patch_mask8\label02\image39.mha
patch_mask8\origin\hist02\image40.mha patch_mask8\label02\image40.mha
patch_mask8\origin\hist02\image41.mha patch_mask8\label02\image41.mha
patch_mask8\origin\hist02\image42.mha patch_mask8\label02\image42.mha
patch_mask8\origin\hist02\image43.mha patch_mask8\label02\image43.mha
patch_mask8\origin\hist02\image44.mha patch_mask8\label02\image44.mha
patch_mask8\origin\hist02\image45.mha patch_mask8\label02\image45.mha
patch_mask8\origin\hist02\image46.mha patch_mask8\label02\image46.mha
patch_mask8\origin\hist02\image47.mha patch_mask8\label02\image47.mha
patch_mask8\origin\hist02\image48.mha patch_mask8\label02\image48.mha
patch_mask8\origin\hist02\image49.mha patch_mask8\label02\image49.mha
patch_mask8\origin\hist02\image50.mha patch_mask8\label02\image50.mha
patch_mask8\origin\hist02\image51.mha patch_mask8\label02\image51.mha
patch_mask8\origin\hist02\image52.mha patch_mask8\label02\image52.mha
patch_mask8\origin\hist02\image53.mha patch_mask8\label02\image53.mha
patch_mask8\origin\hist02\image54.mha patch_mask8\label02\image54.mha
patch_mask8\origin\hist02\image55.mha patch_mask8\label02\image55.mha
patch_mask8\origin\hist02\image56.mha patch_mask8\label02\image56.mha
patch_mask8\origin\hist02\image57.mha patch_mask8\label02\image57.mha
patch_mask8\origin\hist02\image58.mha patch_mask8\label02\image58.mha
patch_mask8\origin\hist02\image59.mha patch_mask8\label02\image59.mha
patch_mask8\origin\hist02\image60.mha patch_mask8\label02\image60.mha
patch_mask8\origin\hist02\image61.mha patch_mask8\label02\image61.mha
patch_mask8\origin\hist02\image62.mha patch_mask8\label02\image62.mha
patch_mask8\origin\hist02\image63.mha patch_mask8\label02\image63.mha
patch_mask8\origin\hist02\image64.mha patch_mask8\label02\image64.mha
patch_mask8\origin\hist02\image65.mha patch_mask8\label02\image65.mha
patch_mask8\origin\hist02\image66.mha patch_mask8\label02\image66.mha
patch_mask8\origin\hist02\image67.mha patch_mask8\label02\image67.mha
patch_mask8\origin\hist02\image68.mha patch_mask8\label02\image68.mha
patch_mask8\origin\hist02\image69.mha patch_mask8\label02\image69.mha
patch_mask8\origin\hist02\image70.mha patch_mask8\label02\image70.mha
patch_mask8\origin\hist02\image71.mha patch_mask8\label02\image71.mha
patch_mask8\origin\hist02\image72.mha patch_mask8\label02\image72.mha
patch_mask8\origin\hist02\image73.mha patch_mask8\label02\image73.mha
patch_mask8\origin\hist02\image74.mha patch_mask8\label02\image74.mha
patch_mask8\origin\hist02\image75.mha patch_mask8\label02\image75.mha
patch_mask8\origin\hist02\image76.mha patch_mask8\label02\image76.mha
patch_mask8\origin\hist02\image77.mha patch_mask8\label02\image77.mha
patch_mask8\origin\hist02\image78.mha patch_mask8\label02\image78.mha
patch_mask8\origin\hist02\image79.mha patch_mask8\label02\image79.mha
patch_mask8\origin\hist02\image80.mha patch_mask8\label02\image80.mha
patch_mask8\origin\hist02\image81.mha patch_mask8\label02\image81.mha
patch_mask8\origin\hist02\image82.mha patch_mask8\label02\image82.mha
patch_mask8\origin\hist02\image83.mha patch_mask8\label02\image83.mha
patch_mask8\origin\hist02\image84.mha patch_mask8\label02\image84.mha
patch_mask8\origin\hist02\image85.mha patch_mask8\label02\image85.mha
patch_mask8\origin\hist02\image86.mha patch_mask8\label02\image86.mha
patch_mask8\origin\hist02\image87.mha patch_mask8\label02\image87.mha
patch_mask8\origin\hist02\image88.mha patch_mask8\label02\image88.mha
patch_mask8\origin\hist02\image89.mha patch_mask8\label02\image89.mha
patch_mask8\origin\hist02\image90.mha patch_mask8\label02\image90.mha
patch_mask8\origin\hist02\image91.mha patch_mask8\label02\image91.mha
patch_mask8\origin\hist03\image1.mha patch_mask8\label03\image1.mha
patch_mask8\origin\hist03\image2.mha patch_mask8\label03\image2.mha
patch_mask8\origin\hist03\image3.mha patch_mask8\label03\image3.mha
patch_mask8\origin\hist03\image4.mha patch_mask8\label03\image4.mha
patch_mask8\origin\hist03\image5.mha patch_mask8\label03\image5.mha
patch_mask8\origin\hist03\image6.mha patch_mask8\label03\image6.mha
patch_mask8\origin\hist03\image7.mha patch_mask8\label03\image7.mha
patch_mask8\origin\hist03\image8.mha patch_mask8\label03\image8.mha
patch_mask8\origin\hist03\image9.mha patch_mask8\label03\image9.mha
patch_mask8\origin\hist03\image10.mha patch_mask8\label03\image10.mha
patch_mask8\origin\hist03\image11.mha patch_mask8\label03\image11.mha
patch_mask8\origin\hist03\image12.mha patch_mask8\label03\image12.mha
patch_mask8\origin\hist03\image13.mha patch_mask8\label03\image13.mha
patch_mask8\origin\hist03\image14.mha patch_mask8\label03\image14.mha
patch_mask8\origin\hist03\image15.mha patch_mask8\label03\image15.mha
patch_mask8\origin\hist03\image16.mha patch_mask8\label03\image16.mha
patch_mask8\origin\hist03\image17.mha patch_mask8\label03\image17.mha
patch_mask8\origin\hist03\image18.mha patch_mask8\label03\image18.mha
patch_mask8\origin\hist03\image19.mha patch_mask8\label03\image19.mha
patch_mask8\origin\hist03\image20.mha patch_mask8\label03\image20.mha
patch_mask8\origin\hist03\image21.mha patch_mask8\label03\image21.mha
patch_mask8\origin\hist03\image22.mha patch_mask8\label03\image22.mha
patch_mask8\origin\hist03\image23.mha patch_mask8\label03\image23.mha
patch_mask8\origin\hist03\image24.mha patch_mask8\label03\image24.mha
patch_mask8\origin\hist03\image25.mha patch_mask8\label03\image25.mha
patch_mask8\origin\hist03\image26.mha patch_mask8\label03\image26.mha
patch_mask8\origin\hist03\image27.mha patch_mask8\label03\image27.mha
patch_mask8\origin\hist03\image28.mha patch_mask8\label03\image28.mha
patch_mask8\origin\hist03\image29.mha patch_mask8\label03\image29.mha
patch_mask8\origin\hist03\image30.mha patch_mask8\label03\image30.mha
patch_mask8\origin\hist03\image31.mha patch_mask8\label03\image31.mha
patch_mask8\origin\hist03\image32.mha patch_mask8\label03\image32.mha
patch_mask8\origin\hist03\image33.mha patch_mask8\label03\image33.mha
patch_mask8\origin\hist03\image34.mha patch_mask8\label03\image34.mha
patch_mask8\origin\hist03\image35.mha patch_mask8\label03\image35.mha
patch_mask8\origin\hist03\image36.mha patch_mask8\label03\image36.mha
patch_mask8\origin\hist03\image37.mha patch_mask8\label03\image37.mha
patch_mask8\origin\hist03\image38.mha patch_mask8\label03\image38.mha
patch_mask8\origin\hist03\image39.mha patch_mask8\label03\image39.mha
patch_mask8\origin\hist03\image40.mha patch_mask8\label03\image40.mha
patch_mask8\origin\hist03\image41.mha patch_mask8\label03\image41.mha
patch_mask8\origin\hist03\image42.mha patch_mask8\label03\image42.mha
patch_mask8\origin\hist03\image43.mha patch_mask8\label03\image43.mha
patch_mask8\origin\hist03\image44.mha patch_mask8\label03\image44.mha
patch_mask8\origin\hist03\image45.mha patch_mask8\label03\image45.mha
patch_mask8\origin\hist03\image46.mha patch_mask8\label03\image46.mha
patch_mask8\origin\hist03\image47.mha patch_mask8\label03\image47.mha
patch_mask8\origin\hist03\image48.mha patch_mask8\label03\image48.mha
patch_mask8\origin\hist03\image49.mha patch_mask8\label03\image49.mha
patch_mask8\origin\hist03\image50.mha patch_mask8\label03\image50.mha
patch_mask8\origin\hist03\image51.mha patch_mask8\label03\image51.mha
patch_mask8\origin\hist03\image52.mha patch_mask8\label03\image52.mha
patch_mask8\origin\hist03\image53.mha patch_mask8\label03\image53.mha
patch_mask8\origin\hist03\image54.mha patch_mask8\label03\image54.mha
patch_mask8\origin\hist03\image55.mha patch_mask8\label03\image55.mha
patch_mask8\origin\hist03\image56.mha patch_mask8\label03\image56.mha
patch_mask8\origin\hist03\image57.mha patch_mask8\label03\image57.mha
patch_mask8\origin\hist03\image58.mha patch_mask8\label03\image58.mha
patch_mask8\origin\hist03\image59.mha patch_mask8\label03\image59.mha
patch_mask8\origin\hist03\image60.mha patch_mask8\label03\image60.mha
patch_mask8\origin\hist03\image61.mha patch_mask8\label03\image61.mha
patch_mask8\origin\hist03\image62.mha patch_mask8\label03\image62.mha
patch_mask8\origin\hist03\image63.mha patch_mask8\label03\image63.mha
patch_mask8\origin\hist03\image64.mha patch_mask8\label03\image64.mha
patch_mask8\origin\hist03\image65.mha patch_mask8\label03\image65.mha
patch_mask8\origin\hist03\image66.mha patch_mask8\label03\image66.mha
patch_mask8\origin\hist03\image67.mha patch_mask8\label03\image67.mha
patch_mask8\origin\hist03\image68.mha patch_mask8\label03\image68.mha
patch_mask8\origin\hist03\image69.mha patch_mask8\label03\image69.mha
patch_mask8\origin\hist03\image70.mha patch_mask8\label03\image70.mha
patch_mask8\origin\hist03\image71.mha patch_mask8\label03\image71.mha
patch_mask8\origin\hist03\image72.mha patch_mask8\label03\image72.mha
patch_mask8\origin\hist03\image73.mha patch_mask8\label03\image73.mha
patch_mask8\origin\hist03\image74.mha patch_mask8\label03\image74.mha
patch_mask8\origin\hist03\image75.mha patch_mask8\label03\image75.mha
patch_mask8\origin\hist03\image76.mha patch_mask8\label03\image76.mha
patch_mask8\origin\hist03\image77.mha patch_mask8\label03\image77.mha
patch_mask8\origin\hist03\image78.mha patch_mask8\label03\image78.mha
patch_mask8\origin\hist03\image79.mha patch_mask8\label03\image79.mha
patch_mask8\origin\hist03\image80.mha patch_mask8\label03\image80.mha
patch_mask8\origin\hist03\image81.mha patch_mask8\label03\image81.mha
patch_mask8\origin\hist03\image82.mha patch_mask8\label03\image82.mha
patch_mask8\origin\hist03\image83.mha patch_mask8\label03\image83.mha
patch_mask8\origin\hist03\image84.mha patch_mask8\label03\image84.mha
patch_mask8\origin\hist03\image85.mha patch_mask8\label03\image85.mha
patch_mask8\origin\hist03\image86.mha patch_mask8\label03\image86.mha
patch_mask8\origin\hist03\image87.mha patch_mask8\label03\image87.mha
patch_mask8\origin\hist03\image88.mha patch_mask8\label03\image88.mha
patch_mask8\origin\hist03\image89.mha patch_mask8\label03\image89.mha
patch_mask8\origin\hist03\image90.mha patch_mask8\label03\image90.mha
patch_mask8\origin\hist03\image91.mha patch_mask8\label03\image91.mha
patch_mask8\origin\hist03\image92.mha patch_mask8\label03\image92.mha
patch_mask8\origin\hist03\image93.mha patch_mask8\label03\image93.mha
patch_mask8\origin\hist03\image94.mha patch_mask8\label03\image94.mha
patch_mask8\origin\hist03\image95.mha patch_mask8\label03\image95.mha
patch_mask8\origin\hist03\image96.mha patch_mask8\label03\image96.mha
patch_mask8\origin\hist03\image97.mha patch_mask8\label03\image97.mha
patch_mask8\origin\hist03\image98.mha patch_mask8\label03\image98.mha
patch_mask8\origin\hist03\image99.mha patch_mask8\label03\image99.mha
patch_mask8\origin\hist03\image100.mha patch_mask8\label03\image100.mha
patch_mask8\origin\hist03\image101.mha patch_mask8\label03\image101.mha
patch_mask8\origin\hist03\image102.mha patch_mask8\label03\image102.mha
patch_mask8\origin\hist03\image103.mha patch_mask8\label03\image103.mha
patch_mask8\origin\hist03\image104.mha patch_mask8\label03\image104.mha
patch_mask8\origin\hist03\image105.mha patch_mask8\label03\image105.mha
patch_mask8\origin\hist03\image106.mha patch_mask8\label03\image106.mha
patch_mask8\origin\hist03\image107.mha patch_mask8\label03\image107.mha
patch_mask8\origin\hist03\image108.mha patch_mask8\label03\image108.mha
patch_mask8\origin\hist03\image109.mha patch_mask8\label03\image109.mha
patch_mask8\origin\hist03\image110.mha patch_mask8\label03\image110.mha
patch_mask8\origin\hist04\image1.mha patch_mask8\label04\image1.mha
patch_mask8\origin\hist04\image2.mha patch_mask8\label04\image2.mha
patch_mask8\origin\hist04\image3.mha patch_mask8\label04\image3.mha
patch_mask8\origin\hist04\image4.mha patch_mask8\label04\image4.mha
patch_mask8\origin\hist04\image5.mha patch_mask8\label04\image5.mha
patch_mask8\origin\hist04\image6.mha patch_mask8\label04\image6.mha
patch_mask8\origin\hist04\image7.mha patch_mask8\label04\image7.mha
patch_mask8\origin\hist04\image8.mha patch_mask8\label04\image8.mha
patch_mask8\origin\hist04\image9.mha patch_mask8\label04\image9.mha
patch_mask8\origin\hist04\image10.mha patch_mask8\label04\image10.mha
patch_mask8\origin\hist04\image11.mha patch_mask8\label04\image11.mha
patch_mask8\origin\hist04\image12.mha patch_mask8\label04\image12.mha
patch_mask8\origin\hist04\image13.mha patch_mask8\label04\image13.mha
patch_mask8\origin\hist04\image14.mha patch_mask8\label04\image14.mha
patch_mask8\origin\hist04\image15.mha patch_mask8\label04\image15.mha
patch_mask8\origin\hist04\image16.mha patch_mask8\label04\image16.mha
patch_mask8\origin\hist04\image17.mha patch_mask8\label04\image17.mha
patch_mask8\origin\hist04\image18.mha patch_mask8\label04\image18.mha
patch_mask8\origin\hist04\image19.mha patch_mask8\label04\image19.mha
patch_mask8\origin\hist04\image20.mha patch_mask8\label04\image20.mha
patch_mask8\origin\hist04\image21.mha patch_mask8\label04\image21.mha
patch_mask8\origin\hist04\image22.mha patch_mask8\label04\image22.mha
patch_mask8\origin\hist04\image23.mha patch_mask8\label04\image23.mha
patch_mask8\origin\hist04\image24.mha patch_mask8\label04\image24.mha
patch_mask8\origin\hist04\image25.mha patch_mask8\label04\image25.mha
patch_mask8\origin\hist04\image26.mha patch_mask8\label04\image26.mha
patch_mask8\origin\hist04\image27.mha patch_mask8\label04\image27.mha
patch_mask8\origin\hist04\image28.mha patch_mask8\label04\image28.mha
patch_mask8\origin\hist04\image29.mha patch_mask8\label04\image29.mha
patch_mask8\origin\hist04\image30.mha patch_mask8\label04\image30.mha
patch_mask8\origin\hist04\image31.mha patch_mask8\label04\image31.mha
patch_mask8\origin\hist04\image32.mha patch_mask8\label04\image32.mha
patch_mask8\origin\hist04\image33.mha patch_mask8\label04\image33.mha
patch_mask8\origin\hist04\image34.mha patch_mask8\label04\image34.mha
patch_mask8\origin\hist04\image35.mha patch_mask8\label04\image35.mha
patch_mask8\origin\hist04\image36.mha patch_mask8\label04\image36.mha
patch_mask8\origin\hist04\image37.mha patch_mask8\label04\image37.mha
patch_mask8\origin\hist04\image38.mha patch_mask8\label04\image38.mha
patch_mask8\origin\hist04\image39.mha patch_mask8\label04\image39.mha
patch_mask8\origin\hist04\image40.mha patch_mask8\label04\image40.mha
patch_mask8\origin\hist04\image41.mha patch_mask8\label04\image41.mha
patch_mask8\origin\hist04\image42.mha patch_mask8\label04\image42.mha
patch_mask8\origin\hist04\image43.mha patch_mask8\label04\image43.mha
patch_mask8\origin\hist04\image44.mha patch_mask8\label04\image44.mha
patch_mask8\origin\hist04\image45.mha patch_mask8\label04\image45.mha
patch_mask8\origin\hist04\image46.mha patch_mask8\label04\image46.mha
patch_mask8\origin\hist04\image47.mha patch_mask8\label04\image47.mha
patch_mask8\origin\hist04\image48.mha patch_mask8\label04\image48.mha
patch_mask8\origin\hist04\image49.mha patch_mask8\label04\image49.mha
patch_mask8\origin\hist04\image50.mha patch_mask8\label04\image50.mha
patch_mask8\origin\hist04\image51.mha patch_mask8\label04\image51.mha
patch_mask8\origin\hist04\image52.mha patch_mask8\label04\image52.mha
patch_mask8\origin\hist04\image53.mha patch_mask8\label04\image53.mha
patch_mask8\origin\hist04\image54.mha patch_mask8\label04\image54.mha
patch_mask8\origin\hist04\image55.mha patch_mask8\label04\image55.mha
patch_mask8\origin\hist04\image56.mha patch_mask8\label04\image56.mha
patch_mask8\origin\hist04\image57.mha patch_mask8\label04\image57.mha
patch_mask8\origin\hist04\image58.mha patch_mask8\label04\image58.mha
patch_mask8\origin\hist04\image59.mha patch_mask8\label04\image59.mha
patch_mask8\origin\hist04\image60.mha patch_mask8\label04\image60.mha
patch_mask8\origin\hist04\image61.mha patch_mask8\label04\image61.mha
